0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:18:10 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:24 +0530] "GET /convey/offerservlet HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:24 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:24 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:28 +0530] "GET /convey/deliverproductservlet?pid=35 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:28 +0530] "GET /convey/offerservlet HTTP/1.1" 200 7474
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:28 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:28 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:31 +0530] "GET /convey/yourdelivery HTTP/1.1" 200 9090
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:31 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:31 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:31 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:31 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:26:07 +0530] "GET /convey/yourdelivery HTTP/1.1" 200 9906
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:26:07 +0530] "GET /convey/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:26:07 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:26:07 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:26:08 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:26:08 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:27:43 +0530] "GET /convey/addproductservlet?name=kur+kure&price=20&quantity=2+packets&image=&tip=5&time=tomorrow+morning&category=Food&id=3&desc=amdinuib+kf++nio HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:27:43 +0530] "GET /convey/offerservlet HTTP/1.1" 200 8361
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:27:43 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:27:43 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:06 +0530] "GET /convey/deliverproductservlet?pid=40 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:06 +0530] "GET /convey/offerservlet HTTP/1.1" 200 7474
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:06 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:06 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:12 +0530] "GET /convey/yourdelivery HTTP/1.1" 200 11159
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:12 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:12 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:12 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:12 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:46 +0530] "GET /convey/offerservlet HTTP/1.1" 200 7474
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:46 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:47 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:49 +0530] "GET /convey/yourdelivery HTTP/1.1" 200 11159
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:49 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:29:49 +0530] "GET /convey/... HTTP/1.1" 404 1046
